DATE,DGS1,DGS10
1962-01-02,3.22,4.06
1962-01-03,3.24,4.03
1962-01-04,3.24,3.99
1962-01-05,3.26,4.02
1962-01-08,3.31,4.03
1962-01-09,3.32,4.05
1962-01-10,3.33,4.07
1962-01-11,3.33,4.08
1962-01-12,3.30,4.08
1962-01-15,3.32,4.10
1962-01-16,3.30,4.13
1962-01-17,3.30,4.12
1962-01-18,3.27,4.11
1962-01-19,3.27,4.11
1962-01-22,3.25,4.09
1962-01-23,3.25,4.11
1962-01-24,3.24,4.10
1962-01-25,3.27,4.11
1962-01-26,3.28,4.11
1962-01-29,3.28,4.12
1962-01-30,3.28,4.11
1962-01-31,3.29,4.10
1962-02-01,3.300,4.09
1962-02-02,3.300,4.08
1962-02-05,3.290,4.07
1962-02-06,3.290,4.06
1962-02-07,3.290,4.07
1962-02-08,3.300,4.07
1962-02-09,3.280,4.05
1962-02-13,3.280,4.03
1962-02-14,3.310,4.03
1962-02-15,3.330,4.02
1962-02-16,3.330,4.02
1962-02-19,3.320,4.01
1962-02-20,3.310,4.05
1962-02-21,3.280,4.03
1962-02-23,3.240,4.02
1962-02-26,3.220,4.00
1962-02-27,3.230,4.01
1962-02-28,3.210,4.00
1962-03-01,3.150,3.98
1962-03-02,3.170,3.98
1962-03-05,3.180,4.00
1962-03-06,3.180,4.01
1962-03-07,3.140,4.00
1962-03-08,3.110,3.98
1962-03-09,3.120,3.96
1962-03-12,3.130,3.94
1962-03-13,3.110,3.92
1962-03-14,3.100,3.93
1962-03-15,3.100,3.96
1962-03-16,3.060,3.96
1962-03-19,3.030,3.93
1962-03-20,3.020,3.91
1962-03-21,3.010,3.86
1962-03-22,2.940,3.83
1962-03-23,2.940,3.87
1962-03-26,2.950,3.89
1962-03-27,2.950,3.90
1962-03-28,2.960,3.90
1962-03-29,2.960,3.90
1962-03-30,2.970,3.86
1962-04-02,2.950,3.86
1962-04-03,2.930,3.83
1962-04-04,2.880,3.78
1962-04-05,2.890,3.84
1962-04-06,2.890,3.81
1962-04-09,2.900,3.83
1962-04-10,2.940,3.83
1962-04-11,3.000,3.87
1962-04-12,3.000,3.86
1962-04-13,3.000,3.85
1962-04-16,3.000,3.83
1962-04-17,3.000,3.82
1962-04-18,3.000,3.81
1962-04-19,3.000,3.82
1962-04-23,3.030,3.86
1962-04-24,3.080,3.87
1962-04-25,3.080,3.88
1962-04-26,3.040,3.89
1962-04-27,3.070,3.86
1962-04-30,3.070,3.86
1962-05-01,3.060,3.85
1962-05-02,3.060,3.86
1962-05-03,3.050,3.86
1962-05-04,3.050,3.87
1962-05-07,3.040,3.86
1962-05-08,3.010,3.85
1962-05-09,3.010,3.82
1962-05-10,2.990,3.83
1962-05-11,3.000,3.82
1962-05-14,3.000,3.85
1962-05-15,3.040,3.87
